Date,BTC,SPY,DJI,IXIC,NYSE,TNX,XAU/USD,VIX,IYR,VNQ,HashDiff,Hashrate,Address,Transaction,GreedIndex
2025-04-18,84450.8046875,,,,,,,,,,121939441843186.3,886080708.5598576,515292.0,519531.75,33.0
2025-04-19,85063.4140625,,,,,,,,,,122371090554474.66,848013087.8404653,528837.25,545076.0,32.0
2025-04-20,85174.3046875,,,,,,,,,,122802739265763.03,809945467.1210731,542382.5,513357.75,37.0
2025-04-21,87518.90625,510.94873046875,38170.41015625,15870.900390625,18032.369140625,4.40500020980835,3406.199951171875,33.81999969482422,89.03771209716797,83.40613555908203,123234387977051.39,771877846.401681,555927.75,481639.5,39.0
2025-04-22,93441.890625,524.2424926757812,39186.98046875,16300.419921875,18455.140625,4.388999938964844,3400.800048828125,30.56999969482422,90.81708526611328,85.02462005615234,123234387977051.4,799444912.344598,569473.0,449921.25,47.0
2025-04-23,93699.109375,532.3658447265625,39606.5703125,16708.05078125,18631.08984375,4.38700008392334,3276.300048828125,28.450000762939453,90.94559478759766,85.18156433105469,123234387977051.44,827011978.2875152,548737.25,418203.0,72.0
2025-04-24,93943.796875,543.5715942382812,40093.3984375,17166.0390625,18895.41015625,4.304999828338623,3332.0,26.469999313354492,91.27181243896484,85.4954605102539,123234387977051.45,854579044.2304323,528001.5,424109.0,63.0
2025-04-25,94720.5,547.4990234375,40113.5,17382.939453125,18899.80078125,4.265999794006348,3282.39990234375,24.84000015258789,91.103759765625,85.34832000732422,123234387977051.47,882146110.1733494,507265.75,430015.0,60.0
2025-04-26,94646.9296875,,,,,,,,,,123234387977051.47,885209117.5003402,486530.0,435921.0,65.0
2025-04-27,93754.84375,,,,,,,,,,123234387977051.47,888272124.8273311,504404.5,441827.0,61.0
2025-04-28,94978.75,547.7078247070312,40227.58984375,17366.130859375,18971.73046875,4.216000080108643,3332.5,25.149999618530273,91.68699645996094,85.87801361083984,123234387977051.48,891335132.1543218,522279.0,414170.0,54.0
2025-04-29,94284.7890625,551.1580200195312,40527.62109375,17461.3203125,19089.2109375,4.172999858856201,3318.800048828125,24.170000076293945,92.29988861083984,86.33902740478516,123234387977051.48,894398139.4813126,540153.5,386513.0,60.0
2025-04-30,94207.3125,551.3768310546875,40669.359375,17446.33984375,19114.240234375,4.177000045776367,3305.0,24.700000762939453,92.61622619628906,86.64311218261719,123090002269977.5,920788103.2258224,558028.0,358856.0,56.0
2025-05-01,96492.3359375,555.2843627929688,40752.9609375,17710.740234375,19049.83984375,4.230999946594238,3210.0,24.600000381469727,92.87323760986328,86.92757415771484,122945616562903.5,947178066.9703323,530042.75,331199.0,53.0
2025-05-02,96910.0703125,563.527099609375,41317.4296875,17977.73046875,19386.6796875,4.322000026702881,3231.89990234375,22.68000030517578,93.87166595458984,87.99675750732422,122801230855829.52,973568030.7148421,502057.5,348964.75,67.0
2025-05-03,95891.796875,,,,,,,,,,122656845148755.53,999957994.4593519,474072.25,366730.5,65.0
2025-05-04,94315.9765625,,,,,,,,,,121771697987997.53,973497617.2079924,446087.0,384496.25,64.0
2025-05-05,94748.0546875,560.295654296875,41218.828125,17844.240234375,19303.23046875,4.3429999351501465,3311.300048828125,23.639999389648438,93.77281951904297,87.80057525634766,120886550827239.52,947037239.956633,482615.5,402262.0,52.0
2025-05-06,96802.4765625,555.6124877929688,40829.0,17689.66015625,19182.16015625,4.308000087738037,3411.39990234375,24.760000228881836,93.08084106445312,87.1237564086914,120001403666481.5,920576862.7052735,519144.0,385332.25,59.0
2025-05-07,97032.3203125,557.9490966796875,41113.96875,17738.16015625,19262.380859375,4.275000095367432,3381.39990234375,23.549999237060547,93.07095336914062,87.22184753417969,119116256505723.5,894116485.453914,555672.5,368402.5,67.0
